iter	Passed	Remaining
415	2782	3906
416	2788	3898
417	2792	3888
418	2797	3878
419	2802	3869
420	2806	3859
421	2810	3850
422	2815	3840
423	2824	3836
424	2829	3827
425	2834	3818
426	2839	3810
427	2844	3801
428	2848	3791
429	2853	3782
430	2858	3773
431	2862	3763
432	2868	3755
433	2872	3746
434	2876	3736
435	2881	3727
436	2886	3719
437	2891	3709
438	2895	3700
439	2901	3692
440	2905	3683
441	2910	3673
442	2915	3665
443	2920	3656
444	2924	3647
445	2929	3638
446	2934	3629
447	2938	3620
448	2942	3611
449	2948	3603
450	2954	3596
451	2958	3587
452	2965	3581
453	2970	3572
454	2974	3563
455	2980	3556
456	2985	3547
457	2989	3538
458	2994	3530
459	2999	3521
460	3003	3512
461	3008	3503
462	3014	3496
463	3019	3487
464	3023	3478
465	3029	3471
466	3033	3462
467	3038	3453
468	3043	3445
469	3048	3437
470	3053	3429
471	3057	3420
472	3063	3413
473	3068	3404
474	3072	3396
475	3078	3388
476	3082	3380
477	3087	3371
478	3092	3364
479	3097	3355
480	3101	3346
481	3106	3338
482	3111	3330
483	3116	3322
484	3120	3313
485	3125	3306
486	3130	3297
487	3134	3288
488	3140	3281
489	3144	3272
490	3149	3264
491	3153	3255
492	3159	3249
493	3163	3240
494	3168	3232
495	3173	3224
496	3179	3217
497	3183	3209
498	3189	3202
499	3193	3193
500	3198	3185
501	3203	3178
502	3208	3170
503	3212	3161
504	3217	3153
505	3225	3148
506	3230	3140
507	3234	3132
508	3239	3125
509	3243	3116
510	3248	3108
511	3253	3101
512	3258	3092
513	3262	3084
514	3266	3076
515	3271	3068
516	3276	3060
517	3280	3052
518	3286	3045
519	3292	3039
520	3296	3030
521	3301	3023
522	3306	3015
523	3310	3007
524	3315	2999
525	3320	2992
526	3325	2984
527	3329	2976
528	3335	2970
529	3340	2962
530	3345	2955
531	3351	2948
532	3356	2940
533	3360	2932
534	3367	2926
535	3371	2918
536	3375	2910
537	3381	2903
538	3387	2897
539	3391	2889
540	3397	2882
541	3401	2874
542	3406	2866
543	3410	2858
544	3416	2852
545	3420	2844
546	3425	2836
547	3430	2829
548	3434	2821
549	3439	2813
550	3443	2806
551	3449	2799
552	3453	2791
553	3459	2784
554	3464	2777
555	3469	2770
556	3474	2763
557	3480	2756
558	3484	2749
559	3489	2742
