iter	RMSE
148	51173.03443
149	51131.44984
150	51079.08535
151	51008.85433
152	50954.06559
153	50919.18047
154	50858.13865
155	50772.17345
156	50721.29152
157	50661.90952
158	50546.15955
159	50474.31356
160	50382.79168
161	50305.18499
162	50270.61248
163	50216.87081
164	50166.54878
165	50099.52241
166	50060.00257
167	50011.50546
168	49922.45418
169	49885.66362
170	49820.31682
171	49785.1342
172	49738.19607
173	49713.06551
174	49674.37322
175	49617.20604
176	49570.8929
177	49521.96706
178	49453.41726
179	49417.93248
180	49384.2129
181	49307.05914
182	49282.67284
183	49223.18942
184	49186.50349
185	49097.31423
186	49049.6227
187	49019.92205
188	48962.25342
189	48904.33691
190	48842.48639
191	48799.75996
192	48778.09192
193	48738.51144
194	48692.72267
195	48660.12225
196	48613.25842
197	48583.88427
198	48536.30772
199	48480.98776
200	48444.12381
201	48374.75262
202	48329.44689
203	48279.7266
204	48245.24676
205	48198.66165
206	48171.13762
207	48121.60182
208	48071.97811
209	48021.74383
210	47977.80713
211	47951.67014
212	47897.99656
213	47837.67055
214	47795.45121
215	47752.41319
216	47710.9002
217	47663.53731
218	47619.04914
219	47586.34327
220	47545.46563
221	47512.86302
222	47464.8381
223	47440.3167
224	47396.3362
225	47367.18659
226	47327.8804
227	47301.04908
228	47261.40255
229	47219.46405
230	47185.69421
231	47151.86723
232	47134.28296
233	47092.72699
234	47047.5348
235	47022.47151
236	46996.48482
237	46975.61456
238	46949.03398
239	46925.63858
240	46904.01551
241	46862.22596
242	46841.24518
243	46815.5825
244	46799.09495
245	46767.47847
246	46736.44709
247	46715.75245
248	46697.81951
249	46665.08482
250	46624.98812
251	46593.26184
252	46554.3673
253	46529.41929
254	46494.48921
255	46453.27638
256	46418.48958
257	46390.43287
258	46354.23244
259	46333.7691
260	46287.39638
261	46245.47132
262	46218.62318
263	46192.50301
264	46147.34814
265	46108.34797
266	46074.87473
267	46047.39656
268	46023.05511
269	45989.9354
270	45958.38559
271	45935.7458
272	45903.53722
273	45885.29177
274	45865.26249
275	45835.01476
276	45794.59645
277	45765.38566
278	45749.46172
279	45714.97685
280	45688.15184
281	45667.73274
282	45639.96568
283	45618.86385
284	45582.9215
285	45557.88635
286	45532.60909
287	45513.8823
288	45496.84074
289	45462.61653
290	45440.17639
291	45416.68196
292	45393.0665
293	45358.77808
294	45335.79489
295	45312.66097
296	45298.60033
297	45269.27678
298	45246.18524
299	45230.20291
300	45195.55524
301	45161.26955
302	45141.83963
303	45111.27423
304	45078.92536
305	45053.8346
306	45022.85236
307	45004.7095
308	44972.66112
309	44950.98744
310	44928.57289
311	44906.18874
312	44878.54743
313	44859.75202
314	44837.95673
315	44798.6588
316	44780.87083
317	44765.30656
318	44752.23467
319	44730.11752
320	44709.43986
321	44691.37402
322	44670.973
323	44645.81953
324	44617.32667
325	44598.15598
326	44579.60839
327	44554.60655
328	44538.6293
329	44523.88249
330	44512.03923
331	44488.79946
332	44472.21417
333	44455.20124
334	44441.77108
335	44423.79957
336	44399.26831
337	44375.33121
338	44351.93445
339	44337.55499
340	44315.37566
341	44286.6112
342	44257.16934
343	44230.16506
344	44217.05616
345	44179.03344
346	44164.00875
347	44138.18389
348	44120.80775
349	44097.14868
350	44075.74714
351	44061.47817
352	44048.82655
353	44029.40719
354	43995.19867
355	43974.24497
356	43942.33567
357	43912.93937
358	43887.49714
359	43874.86259
360	43859.64859
361	43837.94784
362	43808.91676
363	43767.42438
364	43753.19378
365	43734.36302
366	43713.34105
367	43696.70806
368	43676.00086
369	43656.78557
370	43641.78762
371	43622.90992
372	43603.69516
373	43580.38745
374	43557.51189
375	43535.19652
376	43503.10663
377	43479.60181
378	43462.49841
379	43449.01537
380	43431.57587
381	43416.48308
382	43396.59328
383	43369.87817
384	43349.69854
385	43332.51491
386	43312.27234
387	43292.83067
388	43269.78656
389	43245.61384
390	43228.67811
391	43214.71795
392	43198.47407
393	43178.37092
394	43154.31602
395	43123.26758
396	43099.51246
397	43084.77603
398	43051.89263
399	43040.02209
400	43029.94187
401	43011.49959
402	42999.12736
403	42977.43156
404	42959.96971
405	42947.35663
406	42927.10614
407	42911.63138
408	42884.43386
409	42871.96419
410	42856.46238
411	42839.08302
412	42819.8698
413	42794.07885
414	42767.41941
415	42751.31545
416	42738.11172
417	42726.00785
418	42715.59734
419	42705.62941
420	42686.75978
421	42674.86724
422	42655.98157
423	42643.55576
424	42619.17497
425	42601.42854
426	42589.11552
427	42576.82695
428	42558.60341
429	42541.46206
430	42526.11431
431	42509.6409
432	42490.63096
433	42474.65739
434	42463.86187
435	42443.9619
436	42422.23278
437	42407.97209
438	42395.96313
439	42380.82357
440	42365.4466
441	42338.09334
442	42326.28498
443	42306.14458
444	42287.05049
445	42275.25356
446	42264.50069
447	42252.40465
448	42227.69744
449	42209.7152
450	42197.78627
451	42182.26913
452	42169.44081
453	42153.32224
454	42143.61547
455	42126.38511
456	42109.54966
457	42092.6724
458	42080.39136
459	42058.09682
460	42048.01318
461	42020.50739
462	42000.77595
463	41989.49238
464	41975.86895
465	41965.69248
466	41930.34627
467	41909.51346
468	41896.65779
469	41876.81302
470	41852.96374
471	41835.96836
472	41823.41363
473	41808.48419
474	41794.49633
475	41779.83372
476	41764.08806
477	41751.43826
478	41729.5387
479	41720.56175
480	41706.14202
481	41682.117
482	41661.2842
483	41637.54557
484	41628.35124
485	41606.86257
486	41592.89552
487	41581.10395
488	41569.08801
489	41545.09253
490	41525.84465
491	41507.43889
492	41486.58745
493	41468.69001
494	41452.87492
495	41440.46926
496	41427.83531
497	41408.91797
498	41398.71637
499	41368.91286
500	41356.60319
501	41342.3335
502	41324.81749
503	41312.97626
504	41303.98618
505	41292.70623
506	41278.99331
507	41264.83969
508	41244.91159
509	41234.45401
510	41225.05743
511	41212.33771
512	41194.92226
513	41185.45798
514	41178.04563
515	41160.49543
516	41142.52277
517	41133.14308
518	41110.93777
519	41098.30889
520	41093.13523
521	41085.77197
522	41076.61323
523	41063.47661
524	41044.56487
525	41035.30861
526	41019.64799
527	41008.99995
528	40987.76599
529	40974.00437
530	40962.02697
531	40950.60854
532	40938.90237
533	40924.90011
534	40907.74517
535	40891.4515
536	40886.19215
537	40874.80546
538	40863.3402
539	40840.39929
540	40826.10357
541	40812.98931
542	40800.83772
543	40787.83293
544	40779.22959
545	40764.56093
546	40752.7379
547	40739.52346
548	40726.1037
549	40712.37565
550	40701.86773
551	40685.37487
552	40660.77663
553	40642.75122
554	40633.88823
555	40624.98197
556	40607.84671
557	40599.39882
558	40591.40307
559	40580.21197
560	40568.11055
561	40551.64634
562	40537.55526
563	40530.00631
564	40516.57751
565	40503.15918
566	40488.25201
567	40479.32716
568	40466.05337
569	40453.69311
570	40438.6229
571	40433.47338
572	40418.33101
573	40403.20052
574	40393.86008
575	40381.61891
576	40367.86917
577	40352.71582
578	40339.53995
579	40322.84102
580	40303.26931
581	40278.08818
582	40267.54807
583	40251.7695
584	40233.22356
585	40223.19179
586	40214.0116
587	40202.26241
588	40195.22508
589	40185.82896
590	40171.95029
591	40154.59891
592	40144.45977
593	40135.7422
594	40119.81738
595	40108.71372
596	40098.7814
597	40079.18533
598	40068.44505
599	40044.75527
600	40037.08825
601	40024.2762
602	40009.76211
603	39997.16059
604	39983.06345
605	39967.2198
606	39953.5875
607	39935.18368
608	39924.38402
609	39907.88787
610	39900.64297
611	39894.40453
612	39883.22193
613	39872.2017
614	39859.80773
615	39852.48699
616	39834.98031
617	39825.68981
618	39814.71813
619	39799.75441
620	39782.71212
621	39773.7898
622	39767.97586
623	39759.12314
624	39745.22976
625	39735.36522
626	39724.51134
627	39705.25615
628	39684.06804
629	39675.07646
630	39654.71987
631	39641.96741
632	39627.40812
633	39611.51971
634	39600.09151
635	39588.48763
636	39571.15179
637	39557.33273
638	39543.34746
639	39531.45358
640	39522.86217
641	39502.01433
642	39491.46191
643	39479.77439
644	39470.77057
645	39451.3509
646	39445.30544
647	39432.04885
648	39424.0786
649	39411.72016
650	39402.12455
651	39389.25945
652	39376.80776
653	39361.48739
654	39349.00688
655	39338.23089
656	39319.34669
657	39310.76337
658	39302.95001
659	39294.06841
660	39277.33699
661	39268.80416
662	39254.89017
663	39241.16995
664	39234.35124
665	39224.35042
666	39211.93398
667	39195.36992
668	39186.70812
669	39177.39384
670	39164.93791
671	39152.78671
672	39142.15983
673	39134.08983
674	39117.5082
675	39106.08047
676	39093.81699
677	39083.67931
678	39073.52796
679	39064.62734
680	39052.89125
681	39041.3087
682	39031.78535
683	39014.66578
684	39003.84701
685	38996.97194
686	38987.15591
687	38973.09932
688	38964.81113
689	38959.57232
690	38944.88221
691	38932.74106
692	38913.75312
693	38904.42372
694	38891.77504
695	38881.65806
696	38875.00383
697	38861.98942
698	38850.68112
699	38837.83256
700	38815.14939
701	38800.55933
702	38786.87281
703	38772.82466
704	38764.07777
705	38754.3018
706	38744.85459
707	38731.78891
708	38728.00416
709	38716.6008
710	38706.8676
711	38695.39136
712	38689.54582
713	38675.82072
714	38666.58702
715	38657.64118
716	38648.81068
717	38642.02534
718	38627.83307
719	38616.50275
720	38604.51659
721	38593.84548
722	38583.98972
723	38578.43213
724	38566.15306
725	38560.74688
726	38550.16183
727	38544.71458
728	38537.98834
729	38523.2806
730	38516.71184
731	38509.10228
732	38492.45525
733	38479.34191
734	38468.09525
735	38462.88197
736	38454.97161
737	38442.5868
738	38436.62893
739	38432.15303
740	38421.78086
741	38409.59374
742	38400.05829
743	38389.38391
744	38376.80189
745	38364.53181
746	38352.79151
747	38339.9482
748	38321.754
749	38316.52101
750	38311.5071
751	38298.89439
752	38294.7335
753	38287.13339
754	38277.37547
755	38261.36818
756	38251.93169
757	38240.23546
758	38227.72844
759	38215.06287
760	38207.04482
761	38192.62135
762	38184.85511
763	38174.86878
764	38169.78109
765	38161.38878
766	38141.00588
767	38129.08203
768	38120.41228
769	38107.74348
770	38096.15333
771	38083.32412
772	38074.35313
773	38064.19997
774	38049.2405
775	38040.93434
776	38029.9556
777	38023.14948
778	38007.60413
779	37997.20754
780	37990.73818
781	37977.34051
782	37964.91281
783	37953.37423
784	37944.24757
785	37938.71469
786	37932.18771
787	37920.3453
788	37912.51711
789	37904.73298
790	37888.43298
791	37873.43645
792	37862.60659
793	37852.49679
794	37840.40975
795	37828.10111
796	37818.28631
797	37807.69516
798	37795.86872
799	37789.26471
800	37778.43778
801	37761.73905
802	37746.09167
803	37738.21881
804	37718.51683
805	37708.7192
806	37702.13517
807	37695.22803
808	37682.81822
809	37677.26294
810	37669.77835
811	37660.15987
812	37651.50789
813	37641.39385
814	37637.60235
815	37629.05429
816	37621.88322
817	37611.58801
818	37600.67022
819	37592.06865
820	37579.6415
821	37564.61868
822	37555.02578
823	37547.84091
824	37538.86269
825	37529.32121
826	37514.85728
827	37509.55055
828	37502.80695
829	37491.34924
830	37485.3599
831	37480.10641
832	37469.33992
833	37462.11912
834	37454.24841
835	37446.43318
836	37439.90609
837	37422.94179
838	37414.09488
839	37402.47356
840	37388.89788
841	37377.78249
842	37367.66544
843	37360.30466
844	37355.96375
845	37345.34401
846	37331.83471
847	37325.68343
848	37315.8814
849	37308.4089
850	37296.80606
851	37292.09604
852	37284.31426
853	37273.3974
854	37260.95247
855	37253.77824
856	37243.63414
857	37235.89491
858	37226.56082
859	37217.67922
860	37206.40422
861	37197.9907
862	37189.69552
863	37179.76233
864	37167.30205
865	37152.58801
866	37147.14807
867	37139.59545
868	37130.22252
869	37122.46925
870	37111.44079
871	37104.81861
872	37087.75489
873	37081.93879
874	37076.45292
875	37068.62263
876	37063.25671
877	37053.23507
878	37048.27554
879	37043.50845
880	37034.1797
881	37023.53273
882	37018.94083
883	37012.5638
884	37004.2254
885	36998.11398
886	36981.47036
887	36973.95718
888	36967.03904
889	36959.18185
890	36946.05179
891	36940.26317
892	36931.07828
893	36922.19411
894	36911.42897
895	36906.41385
896	36900.48383
897	36895.14752
898	36887.55012
899	36880.63141
900	36873.57377
901	36869.5216
902	36861.69154
903	36857.0883
904	36851.87758
905	36844.76447
906	36837.22127
907	36826.80348
908	36819.10124
909	36810.32412
910	36800.8224
911	36792.66269
912	36780.91249
913	36772.71835
914	36760.26194
915	36751.7611
916	36739.022
917	36733.15534
918	36726.15486
919	36712.10654
920	36700.78455
921	36689.37673
922	36680.73455
923	36671.51767
924	36664.12097
925	36655.15657
926	36646.14085
927	36635.46992
928	36621.44799
929	36617.89206
930	36609.10706
931	36605.19379
932	36594.70901
933	36585.58224
934	36575.01269
935	36566.75941
936	36562.75593
937	36552.9477
938	36541.72163
939	36529.49998
940	36520.01142
941	36516.2471
942	36512.13516
943	36499.49973
944	36492.82738
945	36487.40171
946	36476.15068
947	36469.737
948	36455.39679
949	36447.95298
950	36442.00518
951	36437.38836
952	36429.83499
953	36421.47046
954	36412.57417
955	36405.05718
956	36390.41826
957	36378.83035
958	36367.8235
959	36358.13965
960	36350.24557
961	36344.63541
962	36340.60877
963	36327.28285
964	36321.41812
965	36310.40301
966	36299.49803
967	36287.7144
968	36279.1163
969	36271.4004
970	36264.95218
971	36259.52096
972	36247.95501
973	36240.82099
974	36231.97944
975	36225.8748
976	36219.60032
977	36212.33764
978	36205.07098
979	36194.35671
980	36187.64645
981	36179.83954
982	36174.42973
983	36165.63281
984	36158.8274
985	36154.66934
986	36151.36874
987	36141.47137
988	36133.24847
989	36127.96622
990	36117.02368
991	36110.60495
992	36106.22675
993	36094.1667
994	36088.13549
995	36081.57068
996	36077.21164
997	36068.70398
998	36063.25505
999	36056.18711
